coarse_cell_id	landuse	restored_ha
31160	ForestDryPoor	2.57000000
31165	ForestDryPoor	1.04000000
31166	ForestDryPoor	1.19000000
31449	ForestDryPoor	2.40000000
31450	ForestDryPoor	1.81000000
31451	ForestDryPoor	3.12000000
31452	ForestDryPoor	2.81000000
31453	ForestDryPoor	2.98000000
31454	ForestDryPoor	2.00000000
31455	ForestDryPoor	3.85000000
31456	ForestDryPoor	1.96000000
31505	ForestDryPoor	1.77000000
31746	ForestDryPoor	1.14000000
31747	ForestDryPoor	1.54000000
31748	ForestDryPoor	2.37000000
31749	ForestDryPoor	3.65000000
31750	ForestDryPoor	3.87000000
31751	ForestDryPoor	3.84000000
31759	ForestDryPoor	1.79000000
31797	ForestDryPoor	1.09000000
31798	ForestDryPoor	1.48000000
32042	ForestDryPoor	2.86000000
32044	ForestDryPoor	3.98000000
32045	ForestDryPoor	3.73000000
32046	ForestDryPoor	3.54000000
32048	ForestDryPoor	1.18000000
32338	ForestDryPoor	2.46000000
32340	ForestDryPoor	1.43000000
32341	ForestDryPoor	1.91000000
32342	ForestDryPoor	1.05000000
32633	ForestDryPoor	2.34000000
32634	ForestDryPoor	2.16000000
32635	ForestDryPoor	2.76000000
32636	ForestDryPoor	2.44000000
32927	ForestDryPoor	1.59000000
32928	ForestDryPoor	3.56000000
32929	ForestDryPoor	2.80000000
32930	ForestDryPoor	2.02000000
32931	ForestDryPoor	1.94000000
32932	ForestDryPoor	2.27000000
33217	ForestDryPoor	2.51000000
33218	ForestDryPoor	1.57000000
33219	ForestDryPoor	2.53000000
33222	ForestDryPoor	3.43000000
33223	ForestDryPoor	1.37000000
33224	ForestDryPoor	2.79000000
33512	ForestDryPoor	2.15000000
33513	ForestDryPoor	2.07000000
33514	ForestDryPoor	1.83000000
33516	ForestDryPoor	2.74000000
33517	ForestDryPoor	3.20000000
33518	ForestDryPoor	3.50000000
33521	ForestDryPoor	3.27000000
33809	ForestDryPoor	2.40000000
33810	ForestDryPoor	1.78000000
33811	ForestDryPoor	4.00000000
33812	ForestDryPoor	3.94000000
33813	ForestDryPoor	2.51000000
33815	ForestDryPoor	3.58000000
34104	ForestDryPoor	2.42000000
34105	ForestDryPoor	2.10000000
34107	ForestDryPoor	3.82000000
34108	ForestDryPoor	3.04000000
34402	ForestDryPoor	3.77000000
34403	ForestDryPoor	3.51000000
34404	ForestDryPoor	2.89000000
34985	ForestDryPoor	3.10000000
34991	ForestDryPoor	1.86000000
35280	ForestDryPoor	3.46000000
35286	ForestDryPoor	3.58000000
35574	ForestDryPoor	3.46000000
