i,j
17954,18249
17955,17956
17955,18250
17961,17962
17961,18256
17962,17963
17962,18257
17963,17964
17963,18258
17964,17965
17964,18259
17965,17966
17965,18260
17966,17967
17966,18261
17967,17968
17967,18262
18245,18246
18246,18247
18246,18541
18247,18248
18248,18249
18248,18543
18249,18250
18249,18544
18250,18545
18256,18257
18256,18551
18257,18258
18257,18552
18258,18259
18258,18553
18259,18260
18259,18554
18260,18261
18260,18555
18261,18262
18261,18556
18543,18544
18544,18545
18551,18552
18551,18846
18552,18553
18552,18847
18553,18554
18553,18848
18554,18555
18554,18849
18555,18556
18555,18850
18841,18842
18841,19136
18842,19137
18846,18847
18846,19141
18847,18848
18847,19142
18848,18849
18848,19143
18849,18850
18849,19144
19135,19136
19135,19430
19136,19137
19136,19431
19137,19432
19141,19142
19142,19143
19143,19144
19143,19438
19144,19439
19429,19430
19430,19431
19430,19725
19431,19432
19431,19726
19432,19433
19432,19727
19433,19728
19438,19439
19438,19733
19725,19726
19725,20020
19726,19727
19726,20021
19727,19728
19727,20022
19728,20023
19732,19733
19732,20027
19733,20028
20020,20021
20020,20315
20021,20022
20021,20316
20022,20023
20022,20317
20027,20028
20027,20322
20028,20029
20028,20323
20029,20324
20311,20312
20311,20606
20312,20313
20312,20607
20313,20314
20313,20608
20314,20315
20314,20609
20315,20316
20315,20610
20316,20317
20316,20611
20317,20612
20322,20323
20322,20617
20323,20324
20323,20618
20324,20325
20324,20619
20325,20620
20604,20605
20604,20899
20605,20606
20605,20900
20606,20607
20607,20608
20608,20609
20608,20903
20609,20610
20609,20904
20610,20611
20610,20905
20611,20612
20611,20906
20612,20613
20612,20907
20613,20908
20617,20618
20618,20619
20618,20913
20619,20620
20619,20914
20620,20915
20899,20900
20900,21195
20903,20904
20903,21198
20904,20905
20904,21199
20905,20906
20905,21200
20906,20907
20906,21201
20907,20908
20907,21202
20908,21203
20913,20914
20913,21208
20914,20915
20914,21209
20915,20916
20915,21210
20916,20917
20916,21211
20917,20918
20917,21212
20918,20919
20918,21213
20919,20920
20919,21214
20920,20921
20920,21215
20921,20922
20921,21216
20922,21217
21195,21490
21198,21199
21198,21493
21199,21200
21199,21494
21200,21201
21200,21495
21201,21202
21201,21496
21202,21203
21202,21497
21203,21498
21208,21209
21208,21503
21209,21210
21209,21504
21210,21211
21210,21505
21211,21212
21211,21506
21212,21213
21212,21507
21213,21214
21213,21508
21214,21215
21214,21509
21215,21216
21215,21510
21216,21217
21216,21511
21217,21512
21490,21491
21491,21492
21491,21786
21492,21493
21492,21787
21493,21494
21493,21788
21494,21495
21494,21789
21495,21496
21495,21790
21496,21497
21496,21791
21497,21498
21497,21792
21498,21793
21503,21504
21503,21798
21504,21505
21504,21799
21505,21506
21505,21800
21506,21507
21506,21801
21507,21508
21507,21802
21508,21509
21508,21803
21509,21510
21509,21804
21510,21511
21510,21805
21511,21512
21511,21806
21512,21513
21512,21807
21513,21808
21786,21787
21786,22081
21787,21788
21787,22082
21788,21789
21788,22083
21789,21790
21789,22084
21790,21791
21790,22085
21791,21792
21791,22086
21792,21793
21792,22087
21793,22088
21798,21799
21799,21800
21799,22094
21800,21801
21800,22095
21801,21802
21801,22096
21802,21803
21802,22097
21803,21804
21803,22098
21804,21805
21804,22099
21805,21806
21805,22100
21806,21807
21806,22101
21807,21808
21807,22102
21808,21809
21808,22103
21809,21810
21809,22104
21810,21811
21810,22105
21811,22106
22081,22082
22082,22083
22082,22377
22083,22084
22083,22378
22084,22085
22084,22379
22085,22086
22085,22380
22086,22087
22086,22381
22087,22088
22087,22382
22088,22383
22094,22095
22094,22389
22095,22096
22095,22390
22096,22097
22096,22391
22097,22098
22097,22392
22098,22099
22098,22393
22099,22100
22099,22394
22100,22101
22100,22395
22101,22102
22101,22396
22102,22103
22102,22397
22103,22104
22103,22398
22104,22105
22104,22399
22105,22106
22105,22400
22106,22107
22106,22401
22107,22108
22107,22402
22108,22109
22108,22403
22109,22110
22109,22404
22110,22111
22110,22405
22111,22112
22111,22406
22112,22407
22377,22378
22377,22672
22378,22379
22378,22673
22379,22380
22379,22674
22380,22381
22380,22675
22381,22382
22381,22676
22382,22383
22382,22677
22383,22678
22389,22390
22389,22684
22390,22391
22390,22685
22391,22392
22391,22686
22392,22393
22392,22687
22393,22394
22393,22688
22394,22395
22394,22689
22395,22396
22395,22690
22396,22397
22396,22691
22397,22398
22397,22692
22398,22399
22398,22693
22399,22400
22399,22694
22400,22401
22400,22695
22401,22402
22401,22696
22402,22403
22402,22697
22403,22404
22403,22698
22404,22405
22404,22699
22405,22406
22405,22700
22406,22407
22406,22701
22407,22408
22407,22702
22408,22703
22672,22673
22672,22967
22673,22674
22673,22968
22674,22675
22674,22969
22675,22676
22675,22970
22676,22677
22676,22971
22677,22678
22677,22972
22678,22973
22684,22685
22684,22979
22685,22686
22685,22980
22686,22687
22686,22981
22687,22688
22687,22982
22688,22689
22688,22983
22689,22690
22689,22984
22690,22691
22690,22985
22691,22692
22691,22986
22692,22693
22692,22987
22693,22694
22693,22988
22694,22695
22694,22989
22695,22696
22695,22990
22696,22697
22696,22991
22697,22698
22697,22992
22698,22699
22698,22993
22699,22700
22699,22994
22700,22701
22700,22995
22701,22702
22701,22996
22702,22703
22702,22997
22703,22704
22703,22998
22966,22967
22966,23261
22967,22968
22967,23262
22968,22969
22968,23263
22969,22970
22969,23264
22970,22971
22970,23265
22971,22972
22971,23266
22972,22973
22972,23267
22979,22980
22979,23274
22980,22981
22980,23275
22981,22982
22981,23276
22982,22983
22982,23277
22983,22984
22983,23278
22984,22985
