network_name,child,parent,flow_ha,child_type,parent_type,child_id,parent_id
Global,c_94232,c_94231,36.230000000000004,c,c,94232,94231
Global,c_93042,c_93043,4.040000000000004,c,c,93042,93043
Global,c_93338,c_93043,3.850000000000003,c,c,93338,93043
Global,c_94231,c_93936,37.52,c,c,94231,93936
Global,p_89832,c_93043,1008.9800000000006,p,c,89832,93043
Global,p_90019,c_93339,0.01,p,c,90019,93339
Global,p_90028,c_93339,0.01,p,c,90028,93339
Global,p_90056,c_93339,0.04,p,c,90056,93339
Global,p_90067,c_93339,0.01,p,c,90067,93339
Global,c_93043,c_93044,1019.7900000000006,c,c,93043,93044
Global,c_93339,c_93044,3.9000000000000026,c,c,93339,93044
Global,c_93936,c_93935,39.81,c,c,93936,93935
Global,p_90011,c_93044,0.04,p,c,90011,93044
Global,c_93044,c_93045,1024.9800000000007,c,c,93044,93045
Global,c_93935,c_93640,42.82000000000001,c,c,93935,93640
Global,p_89895,c_93045,0.81,p,c,89895,93045
Global,p_89911,c_93045,0.02,p,c,89911,93045
Global,p_89944,c_93045,0.01,p,c,89944,93045
Global,p_89960,c_93045,0.01,p,c,89960,93045
Global,p_90516,c_93640,1.89,p,c,90516,93640
Global,c_93045,c_93046,1027.5000000000007,c,c,93045,93046
Global,c_93640,c_93639,45.75000000000001,c,c,93640,93639
Global,c_93934,c_93639,1.7800000000000016,c,c,93934,93639
Global,p_90109,c_93046,1.39,p,c,90109,93046
Global,p_90223,c_93639,0.06,p,c,90223,93639
Global,c_93046,p_90216,1030.4700000000007,c,p,93046,90216
Global,c_93343,c_93638,1.7600000000000016,c,c,93343,93638
Global,c_93639,c_93638,50.94000000000001,c,c,93639,93638
Global,c_93933,c_93638,1.9700000000000015,c,c,93933,93638
Global,c_93638,c_93637,58.420000000000016,c,c,93638,93637
Global,p_90191,c_93637,0.01,p,c,90191,93637
Global,p_90204,c_93637,0.01,p,c,90204,93637
Global,p_90216,c_93637,1045.8200000000006,p,c,90216,93637
Global,p_90306,c_93637,0.21,p,c,90306,93637
Global,c_93637,c_93636,1107.7500000000007,c,c,93637,93636
Global,c_93636,c_93931,1108.7500000000007,c,c,93636,93931
Global,c_93931,c_94226,1111.1000000000006,c,c,93931,94226
Global,p_90679,c_94226,0.01,p,c,90679,94226
Global,p_90705,c_94226,0.01,p,c,90705,94226
Global,c_94226,c_94521,1114.1200000000006,c,c,94226,94521
Global,p_90738,c_94521,0.01,p,c,90738,94521
Global,p_90769,c_94521,0.01,p,c,90769,94521
Global,p_90788,c_94521,0.01,p,c,90788,94521
Global,p_90797,c_94521,0.01,p,c,90797,94521
Global,p_90807,c_94521,0.01,p,c,90807,94521
Global,p_90833,c_94521,0.01,p,c,90833,94521
