network_name	coarse_cell_id	counted_area_ha	total_restorable_ha
Global	96274	2.35000000	2.35000000
Global	96275	2.11000000	2.11000000
Global	96276	2.01000000	2.01000000
Global	96277	3.60000000	3.60000000
Global	96288	1.60000000	1.60000000
Global	96289	2.93000000	2.93000000
Global	96290	3.56000000	3.56000000
Global	96291	3.65000000	3.65000000
Global	96293	1.42000000	1.42000000
Global	96555	3.54000000	3.54000000
Global	96556	3.78000000	3.78000000
Global	96557	3.98000000	3.98000000
Global	96558	3.52000000	3.52000000
Global	96562	2.51000000	2.51000000
Global	96567	2.50000000	2.50000000
Global	96568	1.69000000	1.69000000
Global	96569	2.14000000	2.14000000
Global	96572	1.84000000	1.84000000
Global	96581	1.02000000	1.02000000
Global	96582	3.01000000	3.01000000
Global	96583	3.28000000	3.28000000
Global	96585	3.80000000	3.80000000
Global	96586	3.88000000	3.88000000
Global	96587	3.48000000	3.48000000
Global	96588	3.80000000	3.80000000
Global	96589	2.37000000	2.37000000
Global	96849	2.29000000	2.29000000
Global	96850	3.86000000	3.86000000
Global	96851	2.81000000	2.81000000
Global	96853	2.44000000	2.44000000
Global	96860	1.03000000	1.03000000
Global	96862	3.65000000	3.65000000
Global	96863	2.72000000	2.72000000
Global	96876	1.29000000	1.29000000
Global	96877	3.85000000	3.85000000
Global	96880	2.36000000	2.36000000
Global	96881	1.37000000	1.37000000
Global	96882	2.36000000	2.36000000
Global	96883	3.52000000	3.52000000
Global	96884	2.54000000	2.54000000
Global	96885	2.80000000	2.80000000
Global	96886	1.74000000	1.74000000
Global	97145	2.18000000	2.18000000
Global	97146	3.43000000	3.43000000
Global	97147	2.15000000	2.15000000
Global	97148	3.03000000	3.03000000
Global	97149	1.89000000	1.89000000
Global	97152	1.15000000	1.15000000
Global	97153	1.34000000	1.34000000
Global	97157	3.49000000	3.49000000
Global	97158	3.24000000	3.24000000
Global	97159	3.16000000	3.16000000
Global	97160	2.58000000	2.58000000
Global	97172	3.12000000	3.12000000
Global	97173	3.48000000	3.48000000
Global	97176	1.97000000	1.97000000
Global	97180	1.88000000	1.88000000
Global	97447	1.89000000	1.89000000
Global	97452	3.08000000	3.08000000
Global	97453	1.37000000	1.37000000
Global	97457	2.33000000	2.33000000
Global	97458	1.49000000	1.49000000
Global	97461	1.00000000	1.00000000
Global	97729	2.13000000	2.13000000
Global	97730	3.60000000	3.60000000
Global	97739	1.32000000	1.32000000
Global	97740	1.17000000	1.17000000
Global	97742	1.70000000	1.70000000
Global	97743	2.93000000	2.93000000
Global	97753	1.25000000	1.25000000
Global	98025	2.05000000	2.05000000
Global	98026	1.24000000	1.24000000
Global	98030	1.78000000	1.78000000
Global	98031	2.47000000	2.47000000
Global	98032	2.36000000	2.36000000
Global	98033	2.57000000	2.57000000
Global	98034	1.39000000	1.39000000
Global	98325	2.31000000	2.31000000
Global	98326	2.00000000	2.00000000
Global	98327	2.75000000	2.75000000
Global	98614	3.22000000	3.22000000
Global	98620	2.07000000	2.07000000
Global	98621	1.95000000	1.95000000
Global	98625	1.39000000	1.39000000
Global	98909	3.04000000	3.04000000
Global	98916	1.02000000	1.02000000
Global	99204	2.88000000	2.88000000
Global	99208	1.01000000	1.01000000
Global	99209	1.17000000	1.17000000
Global	99211	1.18000000	1.18000000
Global	99499	1.67000000	1.67000000
Global	99502	2.70000000	2.70000000
Global	99504	3.72000000	3.72000000
Global	99505	2.47000000	2.47000000
Global	99793	2.77000000	2.77000000
Global	99794	3.01000000	3.01000000
Global	99796	1.21000000	1.21000000
Global	99799	1.00000000	1.00000000
Global	99801	1.06000000	1.06000000
Global	100088	3.09000000	3.09000000
Global	100092	1.82000000	1.82000000
Global	100093	2.51000000	2.51000000
Global	100094	3.19000000	3.19000000
Global	100095	1.99000000	1.99000000
Global	100096	1.80000000	1.80000000
Global	100388	1.10000000	1.10000000
Global	100389	3.47000000	3.47000000
Global	100391	3.21000000	3.21000000
Global	100392	2.05000000	2.05000000
Global	100393	1.86000000	1.86000000
Global	100682	1.34000000	1.34000000
Global	100684	1.09000000	1.09000000
Global	100685	3.69000000	3.69000000
Global	100686	2.86000000	2.86000000
Global	100689	2.08000000	2.08000000
Global	100980	2.76000000	2.76000000
Global	100981	3.53000000	3.53000000
Global	100983	1.02000000	1.02000000
Global	100984	2.86000000	2.86000000
Global	100985	1.05000000	1.05000000
Global	101276	3.34000000	3.34000000
Global	101277	2.23000000	2.23000000
Global	101278	2.01000000	2.01000000
Global	101279	2.74000000	2.74000000
Global	101280	2.11000000	2.11000000
Global	101567	1.83000000	1.83000000
Global	101568	2.36000000	2.36000000
Global	101572	3.00000000	3.00000000
Global	101573	3.74000000	3.74000000
Global	101574	3.68000000	3.68000000
Global	101575	1.20000000	1.20000000
Global	101863	1.02000000	1.02000000
Global	101864	2.46000000	2.46000000
Global	101865	1.99000000	1.99000000
Global	101867	1.76000000	1.76000000
Global	101868	3.84000000	3.84000000
Global	101869	2.40000000	2.40000000
Global	101871	2.28000000	2.28000000
Global	102159	3.07000000	3.07000000
Global	102160	1.54000000	1.54000000
Global	102163	2.24000000	2.24000000
Global	102164	3.36000000	3.36000000
Global	102165	2.61000000	2.61000000
Global	102166	1.95000000	1.95000000
Global	102167	4.00000000	4.00000000
Global	102168	3.00000000	3.00000000
Global	102454	1.59000000	1.59000000
Global	102455	2.89000000	2.89000000
Global	102460	3.82000000	3.82000000
Global	102462	2.66000000	2.66000000
Global	102463	2.72000000	2.72000000
Global	102464	2.43000000	2.43000000
Global	102751	1.70000000	1.70000000
Global	102753	1.93000000	1.93000000
Global	102754	1.80000000	1.80000000
Global	102755	3.05000000	3.05000000
Global	102756	1.36000000	1.36000000
Global	102758	1.51000000	1.51000000
Global	102759	1.81000000	1.81000000
Global	102760	1.21000000	1.21000000
Global	103046	3.43000000	3.43000000
Global	103048	1.92000000	1.92000000
Global	103049	1.62000000	1.62000000
Global	103051	3.57000000	3.57000000
Global	103341	1.99000000	1.99000000
Global	103345	2.70000000	2.70000000
Global	103346	1.91000000	1.91000000
Global	103347	2.70000000	2.70000000
Global	103348	2.89000000	2.89000000
Global	103349	1.98000000	1.98000000
Global	103640	2.89000000	2.89000000
Global	104230	3.05000000	3.05000000
Global	104231	3.22000000	3.22000000
Global	104232	1.50000000	1.50000000
Global	104531	2.61000000	2.61000000
Global	104534	2.09000000	2.09000000
Global	104822	2.64000000	2.64000000
Global	104825	1.84000000	1.84000000
Global	104827	1.89000000	1.89000000
Global	104828	2.43000000	2.43000000
Global	104829	3.35000000	3.35000000
Global	104830	3.77000000	3.77000000
Global	105120	2.31000000	2.31000000
Global	105122	1.20000000	1.20000000
Global	105123	1.63000000	1.63000000
Global	105124	3.25000000	3.25000000
Global	105409	2.93000000	2.93000000
Global	105410	2.35000000	2.35000000
Global	105419	3.44000000	3.44000000
Global	105420	2.20000000	2.20000000
Global	105701	2.63000000	2.63000000
Global	105702	2.11000000	2.11000000
Global	105703	1.07000000	1.07000000
Global	105704	2.45000000	2.45000000
Global	105705	1.82000000	1.82000000
Global	105707	3.02000000	3.02000000
Global	105709	2.19000000	2.19000000
Global	105710	2.54000000	2.54000000
Global	105715	1.19000000	1.19000000
Global	105993	2.82000000	2.82000000
Global	106000	3.21000000	3.21000000
Global	106002	2.59000000	2.59000000
Global	106004	2.70000000	2.70000000
Global	106288	1.65000000	1.65000000
Global	106297	2.14000000	2.14000000
Global	106299	3.02000000	3.02000000
Global	106593	2.04000000	2.04000000
Global	106594	2.25000000	2.25000000
Global	106886	3.19000000	3.19000000
Global	106889	1.71000000	1.71000000
Global	106890	2.60000000	2.60000000
Global	107182	2.72000000	2.72000000
Global	107185	3.03000000	3.03000000
Global	107186	2.65000000	2.65000000
Global	107477	3.87000000	3.87000000
Global	107478	1.04000000	1.04000000
Global	107480	2.74000000	2.74000000
Global	107481	3.39000000	3.39000000
Global	107482	1.69000000	1.69000000
Global	107483	2.43000000	2.43000000
Global	107771	1.93000000	1.93000000
Global	107772	4.00000000	4.00000000
Global	107773	1.96000000	1.96000000
Global	107775	1.18000000	1.18000000
Global	107776	2.08000000	2.08000000
Global	107777	3.80000000	3.80000000
Global	107778	3.43000000	3.43000000
Global	108068	3.29000000	3.29000000
Global	108070	1.05000000	1.05000000
Global	108071	2.30000000	2.30000000
Global	108073	2.49000000	2.49000000
Global	108074	1.95000000	1.95000000
Global	108075	1.13000000	1.13000000
Global	108076	2.34000000	2.34000000
Global	108077	2.41000000	2.41000000
Global	108078	1.54000000	1.54000000
