network_name,coarse_cell_id
Subarea2,84449
Subarea2,84450
Subarea2,84731
Subarea2,84734
Subarea2,84736
Subarea2,84737
Subarea2,84738
Subarea2,84739
Subarea2,84740
Subarea2,84741
Subarea2,84742
Subarea2,84743
Subarea2,84744
Subarea2,84745
Subarea2,85022
Subarea2,85024
Subarea2,85025
Subarea2,85026
Subarea2,85027
Subarea2,85028
Subarea2,85029
Subarea2,85037
Subarea2,85038
Subarea2,85039
Subarea2,85040
Subarea2,85041
Subarea2,85318
Subarea2,85319
Subarea2,85323
Subarea2,85330
Subarea2,85331
Subarea2,85332
Subarea2,85333
Subarea2,85334
Subarea2,85337
Subarea2,85616
Subarea2,85617
Subarea2,85618
Subarea2,85619
Subarea2,85620
Subarea2,85621
Subarea2,85629
Subarea2,85631
Subarea2,85632
Subarea2,85633
Subarea2,85909
Subarea2,85912
Subarea2,85913
Subarea2,85914
Subarea2,85915
Subarea2,85916
Subarea2,85917
Subarea2,85918
Subarea2,85927
Subarea2,85928
Subarea2,85929
Subarea2,85930
Subarea2,85931
Subarea2,86208
Subarea2,86209
Subarea2,86210
Subarea2,86212
Subarea2,86213
Subarea2,86214
Subarea2,86221
Subarea2,86222
Subarea2,86225
Subarea2,86227
Subarea2,86228
Subarea2,86229
Subarea2,86242
Subarea2,86503
Subarea2,86504
Subarea2,86505
Subarea2,86506
Subarea2,86508
Subarea2,86509
Subarea2,86510
Subarea2,86511
Subarea2,86516
Subarea2,86517
Subarea2,86522
Subarea2,86523
Subarea2,86524
Subarea2,86525
Subarea2,86536
Subarea2,86537
Subarea2,86805
Subarea2,86806
Subarea2,86807
Subarea2,86808
Subarea2,86819
Subarea2,86820
Subarea2,86821
Subarea2,86822
Subarea2,86823
Subarea2,86830
Subarea2,86835
Subarea2,87104
Subarea2,87113
Subarea2,87114
Subarea2,87116
Subarea2,87117
Subarea2,87118
Subarea2,87119
Subarea2,87123
Subarea2,87124
Subarea2,87125
Subarea2,87127
Subarea2,87130
Subarea2,87131
Subarea2,87132
Subarea2,87408
Subarea2,87409
Subarea2,87411
Subarea2,87412
