coarse_cell_id	landuse	restored_ha	biodiversity	existing_nature_contact_edges
87409	ForestDryPoor	1.44000000	190.10283768	2.00000000
87411	ForestDryPoor	2.90000000	189.05424214	23.00000000
87412	ForestDryPoor	3.42000000	347.09530773	0.00000000
87413	ForestDryPoor	2.88000000	347.90812244	1.00000000
87414	ForestDryPoor	2.50000000	314.81557604	0.00000000
87415	ForestDryPoor	2.94000000	372.47055888	0.00000000
87416	ForestDryPoor	2.74000000	326.50349803	17.00000000
87421	ForestDryPoor	1.40000000	127.37642139	0.00000000
87423	ForestDryPoor	1.84000000	181.84305520	0.00000000
87424	ForestDryPoor	1.64000000	389.25479238	0.00000000
87425	ForestDryPoor	3.05000000	888.60988551	0.00000000
87705	ForestDryPoor	1.81000000	186.32251174	24.00000000
87706	ForestDryPoor	1.29000000	99.63247643	0.00000000
87707	ForestDryPoor	2.51000000	276.14334161	4.00000000
87711	ForestDryPoor	1.07000000	134.34636083	34.00000000
87712	ForestDryPoor	1.56000000	136.97320105	23.00000000
87713	ForestDryPoor	3.68000000	314.66556960	0.00000000
87714	ForestDryPoor	3.72000000	348.41472275	0.00000000
87715	ForestDryPoor	3.68000000	385.42091208	0.00000000
87716	ForestDryPoor	3.43000000	403.33790790	0.00000000
87717	ForestDryPoor	1.23000000	128.42982071	0.00000000
87718	ForestDryPoor	2.18000000	221.71670937	0.00000000
87719	ForestDryPoor	3.61000000	649.00827233	0.00000000
87720	ForestDryPoor	1.89000000	556.14832921	0.00000000
88003	ForestDryPoor	1.69000000	226.09053424	34.00000000
88008	ForestDryPoor	3.71000000	361.31840461	11.00000000
88009	ForestDryPoor	4.00000000	423.82356001	0.00000000
88010	ForestDryPoor	3.77000000	418.17187114	0.00000000
88011	ForestDryPoor	3.51000000	424.80250660	0.00000000
88012	ForestDryPoor	3.60000000	423.76676901	0.00000000
88013	ForestDryPoor	2.26000000	269.92358835	0.00000000
88014	ForestDryPoor	3.78000000	486.94348796	0.00000000
88015	ForestDryPoor	1.53000000	308.08820235	0.00000000
88304	ForestDryPoor	2.95000000	305.67258192	0.00000000
88305	ForestDryPoor	3.82000000	349.10880038	0.00000000
88306	ForestDryPoor	3.10000000	305.26028973	0.00000000
88307	ForestDryPoor	3.58000000	413.05582321	0.00000000
88308	ForestDryPoor	3.69000000	414.52444763	0.00000000
88309	ForestDryPoor	3.61000000	357.32360131	0.00000000
88310	ForestDryPoor	1.59000000	214.50220560	0.00000000
88605	ForestDryPoor	3.49000000	396.01436015	0.00000000
88606	ForestDryPoor	2.83000000	743.11679181	0.00000000
88900	ForestDryPoor	3.49000000	384.99180069	0.00000000
88901	ForestDryPoor	2.91000000	644.18370855	0.00000000
89194	ForestDryPoor	3.41000000	256.97696984	0.00000000
