reclass,Value1,Value2,Count,C_01,SN_Source,SN_NatureTypeCode,C_02,C_03,C_05,C_06,SN_Overall_LandCover,SN_Sub1_NatureLandCover,SN_Sub2_NatureLandCover,SN_Exclude_Modelling,SN_Suitability,SN_ModelClass,SN_Combined_Cat,SN_ForestOpen,ForestShrubOpen,SN_Wet_Dry,SN_Wet_Medium_Dry,SN_Rich_Poor,SN_Calcarious_Acidic,SN_SoilType,SN_Non_native,SN_Deciduous_Coniferous,Coastal_Inland,Comments
12,47,47,2354188,50995300,,,Erhverv,Buisness,125000 Erhverv,125000 Industry / business,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,48,48,953356,50995300,,,Erhverv,Buisness,125000 Erhverv,125000 Industry / business,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
9,49,49,2141820,30000100,Paragraph3,TBD,Eng,Wet meadow,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Moist,Both,Neutral,Indiff,Native,NA,indiff,"Paragraf 3 wet meadows some can be poor, but most are expected to be relatively rich"
2,50,50,1518,40217000,HabitatDirective,2170,Grårisklit,"Dunes with Salix repens ssp. argentea (Salicion
arenariea)","321000 Natur, tør","321000 Nature, dry",Open dry,Dune,Dune,Include,DryPoor,OpenDryPoor,Open dry,Open,Shrub,Dry,Dry,Poor,Acidic,Sand,Native,NA,Coastal,
12,51,51,102783,50990103,,,"Teknisk areal, Energiforsyningsanlæg","Technical area, Energy supply plant",124000 Andet bebyggelse,124000 Other built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,52,52,7433,50990103,,,"Teknisk areal, Energiforsyningsanlæg","Technical area, Energy supply plant",124000 Andet bebyggelse,124000 Other built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,53,53,2139,50990103,,,"Teknisk areal, Energiforsyningsanlæg","Technical area, Energy supply plant",124000 Andet bebyggelse,124000 Other built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,54,54,171265,10320500,TBD,TBD,"Slette, Overdrev (overdrev)",Dry meadow,"321000 Natur, tør","321000 Nature, dry",Open dry,Potential grassland,"Grassland, heath and potential grassland",Include,DryBoth,OpenDryBoth,Open dry,Open,Open,Dry,Dry,Both,Both,,Native,NA,Both,Expected to be biological grasslands (overdrev). But unclear from the description. Could be considered excluded. 
9,55,55,89248,30000100,Paragraph3,TBD,Eng,Wet meadow,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Moist,Both,Neutral,Indiff,Native,NA,indiff,"Paragraf 3 wet meadows some can be poor, but most are expected to be relatively rich"
9,56,56,544757,30000100,Paragraph3,TBD,Eng,Wet meadow,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Moist,Both,Neutral,Indiff,Native,NA,indiff,"Paragraf 3 wet meadows some can be poor, but most are expected to be relatively rich"
11,57,57,456563,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,58,58,180555,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
